,company,job_title
54,Munich Re,Machine Learning Engineer - North American Integrated Analytics Team
55,Thanx,Software Engineer
56,Clarivate,Data Analyst - Real World Data
57,The Ian Martin Group,Software Engineer
58,Canadian Tire Corporation,Data Analyst II
59,Crossover,"Junior Software Engineer, Trilogy (Remote) - $60,000/year USD"
60,VDart,Network Data Engineer
61,"Global Technical Talent, an Inc. 5000 Company",Data Analyst - Hybrid
62,Boosted.ai,Cloud Engineer
63,Diverse Lynx,Sr. Data Engineer
64,Integral Ad Science,Data Analyst - Threat Lab
65,W3Global,Data Engineer with AWS Platform
66,Wiley Edge,Software / DevOps Engineer
67,Toast,Software Engineer II
68,CGI,Cloud / Big Data Developer
69,SS&C Technologies,Software Engineer (DE)
70,Randstad Canada,Data Analyst - Finance
71,Intrado,Database Developer
72,CGI,Cloud / Big Data Developer
73,Kora,Software Engineer
74,SS&C Technologies,Software Engineer
75,Cboe Global Markets,Associate Software Engineer
76,Canadian Tire Corporation,Data Analyst - Canadian Tire Corporation
77,Arobas Personnel,Data Analyst
78,Definity,"Specialist, Data Engineering"
79,President's Choice Financial,"Data Analyst, Payment Decision Support"
80,Creative Circle,Data Analyst
81,Getty Images,Software Engineer - Enterprise Data Services (15356)
82,Canadian Tire Corporation,Cloud Developer - Data Engineering - Canadian Tire Corporation
