,link
67,https://ca.linkedin.com/jobs/view/software-engineer-ii-at-toast-3478370051?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=zVJeqwm%2BxnsNBaZblYwXXg%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
68,https://ca.linkedin.com/jobs/view/cloud-big-data-developer-at-cgi-3438543630?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=guj2PngW5muoJeZYdYWjcQ%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
69,https://ca.linkedin.com/jobs/view/software-engineer-de-at-ss-c-technologies-3423801742?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=fqEs74iIbjUVVYgaSRcjtg%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
70,https://ca.linkedin.com/jobs/view/data-analyst-finance-at-randstad-canada-3445444296?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=uden%2Fn8ydxqIsMm2nTu2Gg%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
71,https://ca.linkedin.com/jobs/view/database-developer-at-intrado-3470048575?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=C9DoE6TLVubKQwotaFiwTA%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
72,https://ca.linkedin.com/jobs/view/cloud-big-data-developer-at-cgi-3438543627?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=ztFg6Cyu2Lj%2B6Z9qN9OMhw%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
73,https://ca.linkedin.com/jobs/view/software-engineer-at-kora-3471899689?refId=5CKDD79zM4vkVEhn%2B7yCrw%3D%3D&trackingId=BSPsYlqpfZaYCWUrZW2rjQ%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
74,https://ca.linkedin.com/jobs/view/software-engineer-at-ss-c-technologies-3452450552?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=tis5liD4R%2BrP%2F1R4Qa1kSA%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
75,https://ca.linkedin.com/jobs/view/associate-software-engineer-at-cboe-global-markets-3260822652?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=82ujclll7w4458ReIhxPXQ%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
76,https://ca.linkedin.com/jobs/view/data-analyst-canadian-tire-corporation-at-canadian-tire-corporation-3470500627?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=jIiWwLcL9JPuQZT9OsV4cA%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
77,https://ca.linkedin.com/jobs/view/data-analyst-at-arobas-personnel-3474024936?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=DQ4KHpnjjgNXaw0cRVlevQ%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card
78,https://ca.linkedin.com/jobs/view/specialist-data-engineering-at-definity-3409239206?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=EXVUSzPnjcZjmxxWQwS4eQ%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
79,https://ca.linkedin.com/jobs/view/data-analyst-payment-decision-support-at-president-s-choice-financial-3477080330?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=TuIvmmwxFqdjfs93t28%2F2A%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card
80,https://ca.linkedin.com/jobs/view/data-analyst-at-creative-circle-3434863843?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=owDSwDgLySXbsRKzMsGcyQ%3D%3D&position=7&pageNum=3&trk=public_jobs_jserp-result_search-card
81,https://ca.linkedin.com/jobs/view/software-engineer-enterprise-data-services-15356-at-getty-images-3428744573?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=ihV4Tpv6M74HsNp%2Fj5o1gA%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card
82,https://ca.linkedin.com/jobs/view/cloud-developer-data-engineering-canadian-tire-corporation-at-canadian-tire-corporation-3469894946?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=ulUm4f4rjNsvJ4FtCn8vtA%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card
83,https://ca.linkedin.com/jobs/view/devops-engineer-database-administration-at-hoopp-healthcare-of-ontario-pension-plan-3388825248?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=c%2Bz6dq%2BdUb0ICylr9MH%2Fyg%3D%3D&position=10&pageNum=3&trk=public_jobs_jserp-result_search-card
84,https://ca.linkedin.com/jobs/view/aws-big-data-developer-at-diverse-lynx-3475399027?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=2qY%2Bi36sXj0qNFKzlR9CBQ%3D%3D&position=11&pageNum=3&trk=public_jobs_jserp-result_search-card
85,https://ca.linkedin.com/jobs/view/data-analyst-%E2%80%93-coder-decision-support-regular-full-time-230136-at-sunnybrook-3444370305?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=Y3SQ%2BPdB6MFMEXCI332bIQ%3D%3D&position=12&pageNum=3&trk=public_jobs_jserp-result_search-card
86,https://ca.linkedin.com/jobs/view/software-engineer-ii-at-mastercard-3440366498?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=rVHSLX%2F8DFNRIwCGU5p0lg%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card
87,https://ca.linkedin.com/jobs/view/software-engineer-ireland-freelance-remote-at-braintrust-3478186283?refId=nFDpBFHthSGB2xbRjZ6qew%3D%3D&trackingId=2B7dWKVAc87BKnqrjiHmvg%3D%3D&position=14&pageNum=3&trk=public_jobs_jserp-result_search-card
